arxiv_id,cited_count,cited_match_rate,cited_supported,ground_truth_count,model,noncited_correct,noncited_count,noncited_factual_accuracy,reference_count,reference_matches,reference_precision,reference_recall,system
2105.01605,38,0.9473684210526315,36,49,MiniMax-M3,0,0,0.0,12,1,0.08333333333333333,0.02040816326530612,search-baseline-v10
2205.08977,24,0.875,21,317,MiniMax-M3,0,0,0.0,10,0,0.0,0.0,search-baseline-v10
2204.10325,31,0.7419354838709677,23,36,MiniMax-M3,0,0,0.0,12,0,0.0,0.0,search-baseline-v10
2004.05937,21,0.19047619047619047,4,305,MiniMax-M3,14,16,0.875,10,4,0.4,0.013114754098360656,search-baseline-v10
2206.13188,24,1.0,24,252,MiniMax-M3,0,0,0.0,10,6,0.6,0.023809523809523808,search-baseline-v10
2308.04603,31,0.9032258064516129,28,67,MiniMax-M3,0,0,0.0,10,2,0.2,0.029850746268656716,search-baseline-v10
2306.05817,28,0.2857142857142857,8,301,MiniMax-M3,4,6,0.6666666666666666,10,5,0.5,0.016611295681063124,search-baseline-v10
2310.12986,18,0.8888888888888888,16,61,MiniMax-M3,11,20,0.55,9,0,0.0,0.0,search-baseline-v10
2401.07915,44,0.9090909090909091,40,260,MiniMax-M3,14,20,0.7,10,3,0.3,0.011538461538461539,search-baseline-v10
2312.04861,27,0.4074074074074074,11,277,MiniMax-M3,0,1,0.0,15,4,0.26666666666666666,0.01444043321299639,search-baseline-v10
